emplid|ver_nbr|person_nm|setid_salary|sal_admin_plan|grade|iu_classif_level|actv_ind|
0000001488|1.0|WEATHERSPOON,REED B|IUBLA|AC1|AAM|PR|Y|
0000001490|1.0|TAGGART,EMILIO T|IUBLA|AC1|AAM|PR|Y|
0000001491|1.0|BERARD,DEENA J|IUBLA|AC1|AAM|PR|Y|
0000001494|1.0|JAVIER,STEWART A|IUBLA|SS|0A|-|Y|
0000001495|1.0|HAMMAN,ROSETTA I|IUBLA|AC1|AAM|PR|Y|
0000001498|1.0|SHANKLIN,KELLIE K|IUBLA|SS|0D|-|Y|
0000001525|1.0|SIMMERS,MADELEINE I|IUBLA|AC1|AAM|PR|Y|
0000001527|1.0|SEAMAN,JULIA S|IUBLA|SS|0A|-|Y|
0000001529|1.0|BROWNLEE,CARLO R|IUBLA|AC1|AAM|PR|Y|
0000001531|1.0|ASBURY,BRETT Y|IUBLA|SS|0D|-|Y|
0000001534|1.0|BRUBAKER,ROSENDO Z|IUBLA|AC1|AAM|PR|Y|
0000001536|1.0|CAMPER,ERNESTO U|IUBLA|SS|0A|-|Y|
0000001537|1.0|DREHER,LUPE G|IUBLA|AC1|AAM|PR|Y|
0000001538|1.0|LOGAN,CHRISTA A|IUBLA|AC1|AAM|PR|Y|
0000001541|1.0|WOOLARD,REUBEN Q|IUBLA|AC1|AAM|PR|Y|
0000001544|1.0|LLEWELLYN,PEGGY Z|IUBLA|AC1|AAM|PR|Y|
0000001548|1.0|GADSON,SANG J|IUBLA|AC1|AAM|PR|Y|
0000001554|1.0|SNIPES,LACEY D|IUBLA|AC1|AAM|PR|Y|
0000001558|1.0|LANNING,KELLY G|IUBLA|AC1|AAM|PR|Y|
0000001563|1.0|ARENA,SHELBY Y|IUBLA|AC1|AAM|PR|Y|
0000001567|1.0|ULLOA,DEWITT D|IUBLA|AC1|AAM|PR|Y|
0000001583|1.0|PEELE,JEFF W|IUBLA|AC1|AAM|PR|Y|
0000001587|1.0|KULP,JEROME M|IUBLA|AC1|AAM|PR|Y|
0000001610|1.0|HARBIN,MILAGROS I|IUBLA|SS|0A|-|Y|
0000001614|1.0|HOM,GERMAN P|IUBLA|SS|0D|-|Y|
0000001617|1.0|RIFFE,FREDDY E|IUBLA|AC1|AAM|PR|Y|
0000001619|1.0|RAMSEY,FLORA D|IUBLA|AC1|AAM|PR|Y|
0000001621|1.0|WARREN,FRANCISCO G|IUBLA|AC1|AAM|PR|Y|
0000001623|1.0|BOULDIN,WALLACE B|IUBLA|AC1|AAM|PR|Y|
0000001628|1.0|BENEDICT,BENNY D|IUBLA|AC1|AAM|PR|Y|
0000001629|1.0|ZINN,TERRY T|IUBLA|AC1|AAM|PR|Y|
0000001634|1.0|SHULTZ,ANGELIQUE B|IUBLA|AC1|AAM|PR|Y|
0000001636|1.0|JAHNKE,ISMAEL E|IUBLA|AC1|AAM|PR|Y|
0000001637|1.0|TOOMBS,CLARK K|IUBLA|AC1|AAM|PR|Y|
0000001639|1.0|ZAMORA,GEORGINA W|IUBLA|AC1|AAM|PR|Y|
0000001641|1.0|HACKLER,CANDY Q|IUBLA|AC1|AAM|PR|Y|
0000001650|1.0|MOFFETT,JAKE O|IUBLA|SS|0A|-|Y|
0000001655|1.0|BROCK,LAMONT Q|IUBLA|SS|0D|-|Y|
0000001667|1.0|MCABEE,PETER E|IUBLA|AC1|AAM|PR|Y|
0000001670|1.0|ANAYA,AUDREY Q|IUBLA|SS|0A|-|Y|
0000001671|1.0|GLASSMAN,LEANNA S|IUBLA|AC1|AAM|PR|Y|
0000001675|1.0|BAILEY,BRICE A|IUBLA|SS|0D|-|Y|
0000001676|1.0|ARRIOLA,REID P|IUBLA|AC1|AAM|PR|Y|
0000001677|1.0|FICK,TRACEY H|IUBLA|AC1|AAM|PR|Y|
0000001680|1.0|WITTER,DELMAR G|IUBLA|AC1|AAM|PR|Y|
0000001681|1.0|CATALAN,VAUGHN G|IUBLA|AC1|AAM|PR|Y|
0000001682|1.0|FORRESTER,PENNY C|IUBLA|AC1|AAM|PR|Y|
0000001684|1.0|LEFEBVRE,WINSTON U|IUBLA|AC1|AAM|PR|Y|
0000001685|1.0|CRESWELL,SAUL Z|IUBLA|AC1|AAM|PR|Y|
0000001686|1.0|HAMMONDS,MARION T|IUBLA|AC1|AAM|PR|Y|
0000001688|1.0|CHOUINARD,EDDIE I|IUBLA|AC1|AAM|PR|Y|
0000001689|1.0|MCCARVER,DELORIS K|IUBLA|AC1|AAM|PR|Y|
0000001693|1.0|BORST,SEBASTIAN F|IUBLA|AC1|AAM|PR|Y|
0000001706|1.0|WILES,NOAH X|IUBLA|AC1|AAM|PR|Y|
0000001717|1.0|MARCOUX,SUZETTE O|IUBLA|AC1|AAM|PR|Y|
0000001718|1.0|BEAULIEU,DEANA W|IUBLA|AC1|AAM|PR|Y|
0000001720|1.0|ROSENBLUM,ALVA U|IUBLA|SS|0A|-|Y|
0000001722|1.0|MCCORMICK,GAIL M|IUBLA|AC1|AAM|PR|Y|
0000001723|1.0|VOLZ,ROWENA R|IUBLA|SS|0A|-|Y|
0000001725|1.0|DISMUKE,CLARISSA X|IUBLA|SS|0D|-|Y|
0000001728|1.0|BAUGH,ADAN G|IUBLA|SS|0D|-|Y|
0000001729|1.0|CASTILLO,BERTA Q|IUBLA|AC1|AAM|PR|Y|
0000001733|1.0|BROCKMAN,LEVI H|IUBLA|SS|0A|-|Y|
0000001734|1.0|POOR,KENNETH C|IUBLA|AC1|AAM|PR|Y|
0000001735|1.0|DIETRICH,DEWITT C|IUBLA|SS|0A|-|Y|
0000001737|1.0|PRINE,MARA L|IUBLA|SS|0A|-|Y|
0000001738|1.0|SCHNEIDER,AGUSTIN A|IUBLA|SS|0D|-|Y|
0000001739|1.0|STALKER,LUKE J|IUBLA|AC1|AAM|PR|Y|
0000001740|1.0|PUTNAM,TERRENCE W|IUBLA|SS|0D|-|Y|
0000001742|1.0|STROM,ALEXIS D|IUBLA|SS|0D|-|Y|
0000001744|1.0|AGUIAR,TERENCE A|IUBLA|AC1|AAM|PR|Y|
0000001746|1.0|CLAIR,LATASHA B|IUBLA|AC1|AAM|PR|Y|
